SIM,FC_TH
SCM-2-001,1.5402185225772528e-05
SCM-2-002,0.00011656563279492274
SCM-2-003,2.094820264368403e-06
SCM-2-004,0.00010961159500185897
SCM-2-005,3.627971264530611e-05
SCM-2-006,1.0010878744012593e-05
SCM-2-007,1.6500411386411798e-05
SCM-2-008,6.696764984203232e-06
SCM-2-009,1.3137441269097911e-05
SCM-2-010,7.814452508389935e-05
SCM-2-011,0.0001168935953289459
SCM-2-012,1.2641141201694788e-05
SCM-2-013,5.114692806010888e-06
SCM-2-014,7.049609848067148e-05
SCM-2-015,3.8392162427761793e-05
SCM-2-016,1.569431023606709e-05
SCM-2-017,5.3245440003757655e-05
SCM-2-018,5.654913071946234e-05
SCM-2-019,2.3497600500382993e-05
SCM-2-020,6.670985093757273e-05
SCM-2-021,0.00011466772078630672
SCM-2-022,3.498099569040648e-05
SCM-2-023,2.2866000186572906e-05
SCM-2-024,9.353926152431737e-05
SCM-2-025,4.526590581733728e-05
SCM-2-026,3.183481320162538e-05
SCM-2-027,0.00011062601051750883
SCM-2-028,2.34813885294373e-05
SCM-2-029,2.778018989017205e-05
SCM-2-030,0.00013526079966011355
SCM-2-031,6.478184897727404e-05
SCM-2-032,5.14065122117878e-06
SCM-2-033,1.5617561803732414e-05
SCM-2-034,0.00012582559139484706
SCM-2-035,1.8967073999026453e-05
SCM-2-036,4.031833249031556e-05
SCM-2-037,7.565966858094647e-06
SCM-2-038,6.303600435684018e-05
SCM-2-039,3.7422879512108015e-05
SCM-2-040,4.4958714024977726e-05
SCM-2-041,7.505107118926182e-06
SCM-2-042,5.468268088036695e-05
SCM-2-043,0.00011753379699323595
SCM-2-044,1.4750990150539977e-05
SCM-2-045,0.00012502036216460483
SCM-2-046,2.4668043855118035e-05
SCM-2-047,6.67629502414812e-05
SCM-2-048,3.1403726319013904e-06
SCM-2-049,8.286550246517378e-05
SCM-2-050,2.735185693501309e-05
SCM-2-051,7.112211706349341e-05
SCM-2-052,1.1169635072939111e-05
SCM-2-053,7.178881097137794e-05
SCM-2-054,4.1066026777275814e-05
SCM-2-055,1.0082109054101339e-05
SCM-2-056,9.473166985524863e-05
SCM-2-057,0.00010412563093965757
SCM-2-058,4.551695457942289e-05
SCM-2-059,4.5224690351980516e-05
SCM-2-060,1.0895836399422234e-05
SCM-2-061,9.606819587999755e-06
SCM-2-062,6.591837369492039e-05
SCM-2-063,5.622571820294734e-05
SCM-2-064,0.00010631438078768018
SCM-2-065,9.759245244401551e-06
SCM-2-066,1.1553789603092184e-05
SCM-2-067,0.00010987380261054649
SCM-2-068,5.570097806152464e-05
SCM-2-069,4.619952552563486e-05
SCM-2-070,5.697733053608871e-05
SCM-2-071,0.00013555466959511606
SCM-2-072,0.0001797772012259265
SCM-2-073,0.00010135595121721297
SCM-2-074,2.1093199335067573e-05
SCM-2-075,0.00011556841989994317
SCM-2-076,2.3773778139793354e-05
SCM-2-077,2.2035223192376956e-05
SCM-2-078,1.2050937088080096e-05
SCM-2-079,3.426324430418927e-05
SCM-2-080,8.303211674669422e-05
SCM-2-081,1.7808747052353527e-05
SCM-2-082,1.0323584910135105e-05
SCM-2-083,4.192443490904869e-05
SCM-2-084,5.376001604527067e-05
SCM-2-085,0.00011639669146784772
SCM-2-086,1.1710100106450329e-05
SCM-2-087,9.944370656980762e-05
SCM-2-088,9.279187053030968e-06
SCM-2-089,1.9632913970539443e-05
SCM-2-090,1.4434889869210428e-05
