SIM,FC_TH,WC_TH
SCM-1-001,4.129201540754521e-05,3.311594134407735e-05
SCM-1-002,5.009083993949835e-05,4.283412668091169e-05
SCM-1-003,1.5911817660114167e-05,1.2752913295958641e-05
SCM-1-004,1.0747953577308908e-05,6.7777772650457116e-06
SCM-1-005,9.523154604787694e-06,8.552427391062498e-06
SCM-1-006,1.8964932189312588e-05,1.8850945806925936e-05
SCM-1-007,8.428793299532012e-05,6.388028492608853e-05
SCM-1-008,3.927722018489508e-05,3.285445503101386e-05
SCM-1-009,9.133844928282064e-05,6.908842471745425e-05
SCM-1-010,2.873808983492971e-05,2.2297181454332625e-05
SCM-1-011,8.53918820711559e-06,6.674728178170768e-06
SCM-1-012,5.276378684812851e-05,4.019942913173006e-05
SCM-1-013,7.697136210244397e-05,5.702513617727123e-05
SCM-1-014,9.023233773745247e-06,7.468852589500595e-06
SCM-1-015,3.6438552293206067e-06,3.2703458176968683e-06
SCM-1-016,4.5600513027994775e-06,3.825115913812554e-06
SCM-1-017,1.46672666829424e-05,1.1304821918574591e-05
SCM-1-018,0.00010720328055806822,7.395204815266945e-05
SCM-1-019,7.829325211285558e-06,1.269303270927889e-05
SCM-1-020,5.400917241994847e-05,3.9749590481987486e-05
SCM-1-021,5.071951027301963e-05,4.1530086208052385e-05
SCM-1-022,2.7018003476764833e-05,1.940452185045433e-05
SCM-1-023,7.510556131301405e-05,5.552954896283886e-05
SCM-1-024,2.44784012494676e-05,2.0833691604999804e-05
SCM-1-025,0.0001119509463529394,8.292680272886896e-05
SCM-1-026,8.643317407273528e-06,6.037978436254486e-06
SCM-1-027,0.00014747826856931448,9.777865324835306e-05
SCM-1-028,4.7524854319356646e-05,3.815838421118628e-05
SCM-1-029,1.7032107677305846e-05,1.2303616236096091e-05
SCM-1-030,1.3132277695943522e-05,1.0716486955000549e-05
SCM-1-031,1.839814512605395e-05,1.6075076547064122e-05
SCM-1-032,7.087512484647195e-05,5.286981932323199e-05
SCM-1-033,5.440844081200006e-05,4.3328704501850306e-05
SCM-1-034,2.8085890967173008e-05,3.100179809877955e-05
SCM-1-035,8.882091873285719e-05,6.821182077111064e-05
SCM-1-036,1.132914153069969e-05,1.1985810009661473e-05
SCM-1-037,0.00011662767500265526,8.363420392289604e-05
SCM-1-038,2.2127624971397794e-05,1.887262842631473e-05
SCM-1-039,9.81854503798084e-06,5.82925257096442e-06
SCM-1-040,3.474414735607397e-05,4.360579497455463e-05
SCM-1-041,0.00013159424961689867,9.027312845046879e-05
SCM-1-042,4.338983326410789e-06,3.0640981821781594e-06
SCM-1-043,0.00013555466959511606,9.729749729767851e-05
SCM-1-044,2.000112228078203e-05,2.0832608827223357e-05
SCM-1-045,3.663722685921595e-05,2.9930501973723554e-05
SCM-1-046,2.597405293773e-05,2.0221901739351556e-05
SCM-1-047,1.5493276547367375e-05,1.0485693285793583e-05
SCM-1-048,0.00011288403411544778,8.296051319391882e-05
SCM-1-049,0.0001158657352959626,8.327134775332086e-05
SCM-1-050,1.2310080687007334e-05,9.122945422541713e-06
SCM-1-051,7.963387775633557e-06,6.353761229031171e-06
SCM-1-052,4.342155814681826e-05,3.263543201142296e-05
SCM-1-053,7.251499031893362e-05,7.260092359636072e-05
SCM-1-054,6.223038116877465e-05,6.493079069596083e-05
SCM-1-055,0.00012068620603694829,8.188484458438725e-05
SCM-1-056,9.208552690292547e-06,5.461572647863611e-06
SCM-1-057,9.53046720089745e-05,7.389128073007631e-05
SCM-1-058,3.883357548067517e-05,3.201235960173256e-05
SCM-1-059,5.1571077813504654e-05,4.0157414022462204e-05
SCM-1-060,1.015767356045577e-05,1.574552266702168e-05
SCM-1-061,0.00015449225333170747,0.00015984963400089507
SCM-1-062,0.00010660177343767203,8.194406851077479e-05
SCM-1-063,5.5783544612285105e-06,3.7385304005347806e-06
SCM-1-064,3.695802193228746e-05,2.9789370719768826e-05
SCM-1-065,3.002857586324331e-05,2.3456429213498727e-05
SCM-1-066,0.00016385657691513238,0.00010280208552024972
SCM-1-067,7.352417469216131e-05,5.8241036137256396e-05
SCM-1-068,0.0001386117446854695,9.545713586100324e-05
SCM-1-069,0.0001259606056521485,8.982197973341444e-05
SCM-1-070,0.0001355546931717082,9.729738013793276e-05
SCM-1-071,2.6924457818642895e-05,1.988062019917048e-05
SCM-1-072,1.4977007683370667e-05,1.0583025741236196e-05
SCM-1-073,9.762466728502654e-06,7.829909620211557e-06
SCM-1-074,4.3312410607266756e-05,3.552049461947307e-05
SCM-1-075,1.443558653682896e-05,9.880057016602484e-06
SCM-1-076,0.00011651519157614472,9.89826857010512e-05
SCM-1-077,1.0768739689396373e-05,6.517680661372458e-06
SCM-1-078,7.688963958417606e-05,8.100973784658287e-05
SCM-1-079,3.142116325179583e-05,2.547518744128061e-05
SCM-1-080,1.0100978591075739e-05,9.71762082159463e-05
SCM-1-081,0.00027156541404348036,0.0002742910640995499
SCM-1-082,0.00010354208754762494,7.815061863523824e-05
SCM-1-083,0.00010497608577782742,9.575332154314128e-05
SCM-1-084,1.2218911726742272e-05,1.2075540210298402e-05
SCM-1-085,0.00012586714175036158,9.257022231281656e-05
SCM-1-086,0.00012111378207923384,9.12124227180696e-05
SCM-1-087,0.00011730678259891786,8.727763258610478e-05
SCM-1-088,7.51820983723852e-05,7.611758666105984e-05
SCM-1-089,5.762525959988163e-06,3.549165402878636e-06
SCM-1-090,0.00010438520149149552,7.906493089570492e-05
SCM-1-091,9.753130948091039e-06,7.1079947395599845e-06
